"RevolvingUtilizationOfUnsecuredLines","age","NumberOfTime30-59DaysPastDueNotWorse","DebtRatio","MonthlyIncome","NumberOfOpenCreditLinesAndLoans","NumberOfTimes90DaysLate","NumberRealEstateLoansOrLines","NumberOfTime60-89DaysPastDueNotWorse","NumberOfDependents","SeriousDlqin2yrs"
"0.002066529","62","0","0.001407303","13500.0","3","0","0","0","1.0","0"
"0.044484328","55","0","20.0","","7","0","0","0","0.0","0"
"0.657736905","32","0","0.139853395","5183.0","3","0","0","0","2.0","0"
"0.052078494","41","0","0.226401619","8400.0","10","0","1","0","4.0","0"
"0.162734906","58","0","0.005997001","2000.0","3","1","0","0","0.0","0"
"0.073994442","62","0","0.330797653","4600.0","9","0","2","0","1.0","0"
"0.026981986","28","0","0.262696383","2736.0","8","0","0","0","0.0","0"
"0.035453471","63","0","0.405867313","7430.0","6","0","2","0","0.0","0"
"0.023332859","80","0","3173.0","","9","0","2","0","0.0","0"
"0.004228982","55","0","0.000925754","5400.0","4","0","0","0","0.0","0"
"0.3436571","64","0","0.253621789","10353.0","5","0","2","0","0.0","0"
"0.294355308","53","0","0.197185706","5400.0","17","0","1","0","1.0","0"
"0.524284836","46","0","3898.0","","10","0","1","0","0.0","0"
"0.994093594","23","0","0.136978248","1700.0","2","1","0","0","0.0","0"
"0.111985069","26","0","0.007594168","3291.0","3","0","0","0","0.0","0"
"0.62619474","68","1","0.415191192","13441.0","10","0","4","0","1.0","0"
"0.0","37","0","1.486810552","1250.0","8","0","2","0","3.0","0"
"0.063823404","67","0","81.0","","4","0","0","0","0.0","0"
"0.268687902","35","0","0.315052842","3500.0","11","0","0","0","1.0","0"
"0.052063417","53","0","0.152718116","6750.0","12","0","1","0","0.0","0"
"0.034021123","46","0","0.012724381","4400.0","7","0","0","0","0.0","0"
"0.825964264","72","0","0.676031384","3950.0","12","0","0","0","0.0","0"
"0.055190654","51","0","0.643162055","6324.0","16","0","4","0","2.0","0"
"0.003904425","39","0","0.315951392","6500.0","14","0","2","0","0.0","0"
"0.675951632","72","0","0.814461753","4300.0","16","0","2","0","0.0","0"
"0.20622743","68","0","0.198984966","10442.0","23","0","1","0","0.0","0"
